0.222,1.142,0,NaN,0.519,1,0,0,NaN,0.50901,1,0
0.198,1.1484,0,NaN,0.503,1,0,0,NaN,0.50505,1,0
0.381,1.146,0,NaN,0.597,1,0,0,NaN,0.57218,1,0
0.188,0.67219,0,NaN,0.503,1,0,0,NaN,0.50532,1,0
0.256,0.56692,0,NaN,0.519,1,0,0,NaN,0.50391,1,0
0.219,0.65321,0,NaN,0.597,1,0,0,NaN,0.47489,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0.145,0.53219,0,NaN,0.503,1,0,0,NaN,0.53103,1,0
0.2,0.58734,0,NaN,0.597,1,0,0,NaN,0.385,1,0
0.235,0.51609,0,NaN,0.503,1,0,0,NaN,0.49787,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0.198,0.49627,0,NaN,0.597,1,0,0,NaN,0.53535,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.452,0.49504,0,NaN,0.597,1,0,0,NaN,0.55752,1,0
